wissen	weiß	wüsste	haben_gewusst
entschließen	entschließt	entschlösse	haben_entschlossen
beschließen	beschließt	beschlösse	haben_beschlossen
verlernen	verlernt	verlernte	haben_verlernt
erpflegen	erpflegt	erpflegte	haben_erpflegt
pflegen	pflegt	pflegte	haben_gepflegt
erklären	erklärt	erklärte	haben_erklärt
verdenken	verdenkt	verdächte	haben_verdacht
entlassen	entlässt	entließe	haben_entlassen
heißen	heißt	hieße	haben_geheißen
versprechen	verspricht	verspräche	haben_versprochen
besprechen	bespricht	bespräche	haben_besprochen
versagen	versagt	versagte	haben_versagt
anspielen	spielt an	spielte an	haben_angespielt
einstellen	stellt ein	stellte ein	haben_eingestellt
erblassen	erblasst	erblasste	sein_erblasst
abblassen	blasst ab	blasste ab	sein_abgeblasst
schiefliegen	liegt schief	läge schief	haben_schiefgelegen
zurückkommen	kommt zurück	käme zurück	sein_zurückgekommen
bedürfen	bedarf	bedürfte	haben_bedurft
überreichen	überreicht	überreichte	haben_überreicht
kleben	klebt	klebte	haben_geklebt
einfallen	fällt ein	fiele ein	sein_eingefallen
hereinkommen	kommt herein	käme herein	sein_hereingekommen
wahrnehmen	nimmt wahr	nähme wahr	haben_wahrgenommen
aufbringen	bringt auf	brächte auf	haben_aufgebracht
zumachen	macht zu	machte zu	haben_zugemacht
schließen	schließt	schlösse	haben_geschlossen
auferstehen	aufersteht	auferstünde	sein_auferstanden
kredenzen	kredenzt	kredenzte	haben_kredenzt
ausfallen	fällt aus	fiele aus	sein_ausgefallen
beinhalten	beinhaltet	beinhaltete	haben_beinhaltet
schalten	schaltet	schaltete	haben_geschaltet
wiederbeleben	belebt wieder	belebte wieder	haben_wiederbelebt
einpflegen	pflegt ein	pflegte ein	haben_eingepflegt
erinnern	erinnert	erinnerte	haben_erinnert
aufhalten	hält auf	hielte auf	haben_aufgehalten
aufnehmen	nimmt auf	nähme auf	haben_aufgenommen
schönreden	redet schön	redete schön	haben_schöngeredet
umstellen	umstellt	umstellte	haben_umstellt
herstellen	stellt her	stellte her	haben_hergestellt
einsetzen	setzt ein	setzte ein	haben_eingesetzt
widerlegen	widerlegt	widerlegte	haben_widerlegt
benehmen	benimmt	benähme	haben_benommen
aufgehen	geht auf	ginge auf	sein_aufgegangen
behalten	behält	behielte	haben_behalten
dicht machen	macht dicht	machte dicht	haben_dicht gemacht
dichtmachen	macht dicht	machte dicht	haben_dichtgemacht
nottun	tut not	täte not	haben_notgetan
verbinden	verbindet	verbände	haben_verbunden
entnehmen	entnimmt	entnähme	haben_entnommen
ausziehen	zieht aus	zöge aus	sein_ausgezogen
vergleichen	vergleicht	vergliche	haben_verglichen
abziehen	zieht ab	zöge ab	haben_abgezogen
abgeben	gibt ab	gäbe ab	haben_abgegeben
blankziehen	zieht blank	zöge blank	haben_blankgezogen
verlegen	verlegt	verlegte	haben_verlegt
fortfahren	fährt fort	führe fort	sein_fortgefahren
spazieren gehen	geht spazieren	ginge spazieren	sein_spazieren gegangen
erzählen	erzählt	erzählte	haben_erzählt
vergehen	vergeht	verginge	haben_vergangen
umfallen	fällt um	fiele um	sein_umgefallen
verbleiben	verbleibt	verbliebe	sein_verblieben
vorgeben	gibt vor	gäbe vor	haben_vorgegeben
beleben	belebt	belebte	haben_belebt
meinen	meint	meinte	haben_gemeint
anschließen	schließt an	schlösse an	haben_angeschlossen
kundtun	tut kund	täte kund	haben_kundgetan
einnehmen	nimmt ein	nähme ein	haben_eingenommen
ausnehmen	nimmt aus	nähme aus	haben_ausgenommen
angeben	gibt an	gäbe an	haben_angegeben
unterstehen	untersteht	unterstünde	haben_unterstanden
wegfahren	fährt weg	führe weg	sein_weggefahren
umziehen	zieht um	zöge um	sein_umgezogen
entgegenkommen	kommt entgegen	käme entgegen	sein_entgegengekommen
verbringen	verbringt	verbrächte	haben_verbracht
verbieten	verbietet	verböte	haben_verboten
einführen	führt ein	führte ein	haben_eingeführt
zurückgeben	gibt zurück	gäbe zurück	haben_zurückgegeben
fortsetzen	setzt fort	setzte fort	haben_fortgesetzt
vergeben	vergibt	vergäbe	haben_vergeben
übergeben	übergibt	übergäbe	haben_übergeben
begehen	begeht	beginge	haben_begangen
scheinen	scheint	schiene	haben_geschienen
abschließen	schließt ab	schlösse ab	haben_abgeschlossen
ansehen	sieht an	sähe an	haben_angesehen
weggehen	geht weg	ginge weg	sein_weggegangen
aushalten	hält aus	hielte aus	haben_ausgehalten
ansprechen	spricht an	spräche an	haben_angesprochen
ausstellen	stellt aus	stellte aus	haben_ausgestellt
behandeln	behandelt	behandelte	haben_behandelt
ausgehen	geht aus	ginge aus	sein_ausgegangen
