wissen	weiß	wüsste	haben_gewusst
erarbeiten	erarbeitet	erarbeitete	haben_erarbeitet
gebieten	gebietet	geböte	haben_geboten
umlegen	legt um	legte um	haben_umgelegt
umerziehen	erzieht um	erzöge um	haben_umerzogen
zurechtkommen	kommt zurecht	käme zurecht	sein_zurechtgekommen
herziehen	zieht her	zöge her	sein_hergezogen
entgegenarbeiten	arbeitet entgegen	arbeitete entgegen	haben_entgegengearbeitet
erbringen	erbringt	erbrächte	haben_erbracht
ausfragen	fragt aus	fragte aus	haben_ausgefragt
misshandeln	misshandelt	misshandelte	haben_misshandelt
überreden	überredet	überredete	haben_überredet
ernennen	ernennt	ernennte	haben_ernannt
krankschreiben	schreibt krank	schriebe krank	haben_krankgeschrieben
überführen	überführt	überführte	haben_überführt
ankennen	kennt an	kennte an	haben_angekannt
vollscheißen	scheißt voll	schisse voll	haben_vollgeschissen
zerfallen	zerfällt	zerfiele	sein_zerfallen
abfliegen	fliegt ab	flöge ab	sein_abgeflogen
abtun	tut ab	täte ab	haben_abgetan
wallfahren	wallfahrt	wallfahrte	sein_gewallfahrt
abbrauchen	braucht ab	brauchte ab	haben_abgebraucht
überarbeiten	überarbeitet	überarbeitete	haben_überarbeitet
nachbilden	bildet nach	bildete nach	haben_nachgebildet
ausschaffen	schafft aus	schaffte aus	haben_ausgeschafft
beauftragen	beauftragt	beauftragte	haben_beauftragt
hinstellen	stellt hin	stellte hin	haben_hingestellt
ankleben	klebt an	klebte an	haben_angeklebt
freigeben	gibt frei	gäbe frei	haben_freigegeben
missfallen	missfällt	missfiele	haben_missfallen
stattgeben	gibt statt	gäbe statt	haben_stattgegeben
ausbilden	bildet aus	bildete aus	haben_ausgebildet
vorschreiben	schreibt vor	schriebe vor	haben_vorgeschrieben
beistellen	stellt bei	stellte bei	haben_beigestellt
niederschreiben	schreibt nieder	schriebe nieder	haben_niedergeschrieben
hinkommen	kommt hin	käme hin	sein_hingekommen
herzukommen	kommt herzu	käme herzu	sein_herzugekommen
vorzeigen	zeigt vor	zeigte vor	haben_vorgezeigt
zuschreiben	schreibt zu	schriebe zu	haben_zugeschrieben
zurückbekommen	bekommt zurück	bekäme zurück	haben_zurückbekommen
umsehen	sieht um	sähe um	haben_umgesehen
verleben	verlebt	verlebte	haben_verlebt
vollführen	vollführt	vollführte	haben_vollführt
vorübergehen	geht vorüber	ginge vorüber	sein_vorübergegangen
hinziehen	zieht hin	zöge hin	sein_hingezogen
vorfühlen	fühlt vor	fühlte vor	haben_vorgefühlt
nachfühlen	fühlt nach	fühlte nach	haben_nachgefühlt
befühlen	befühlt	befühlte	haben_befühlt
mitfühlen	fühlt mit	fühlte mit	haben_mitgefühlt
anfühlen	fühlt an	fühlte an	haben_angefühlt
erfühlen	erfühlt	erfühlte	haben_erfühlt
einsagen	sagt ein	sagte ein	haben_eingesagt
feilbieten	bietet feil	böte feil	haben_feilgeboten
leidtun	tut leid	täte leid	haben_leidgetan
loslassen	lässt los	ließe los	haben_losgelassen
anfinden	findet an	fände an	haben_angefunden
aufbleiben	bleibt auf	bliebe auf	sein_aufgeblieben
nachgehen	geht nach	ginge nach	sein_nachgegangen
herausnehmen	nimmt heraus	nähme heraus	haben_herausgenommen
zurückverfolgen	verfolgt zurück	verfolgte zurück	haben_zurückverfolgt
verstellen	verstellt	verstellte	haben_verstellt
festschreiben	schreibt fest	schriebe fest	haben_festgeschrieben
einschreiben	schreibt ein	schriebe ein	haben_eingeschrieben
haushalten	haushaltet	haushaltete	haben_gehaushaltet
kleinreden	redet klein	redete klein	haben_kleingeredet
aufspielen	spielt auf	spielte auf	haben_aufgespielt
aufschließen	schließt auf	schlösse auf	haben_aufgeschlossen
zuschließen	schließt zu	schlösse zu	haben_zugeschlossen
großziehen	zieht groß	zöge groß	haben_großgezogen
einmachen	macht ein	machte ein	haben_eingemacht
kaputtmachen	macht kaputt	machte kaputt	haben_kaputtgemacht
dastehen	steht da	stünde da	haben_dagestanden
vorliebnehmen	nimmt vorlieb	nähme vorlieb	haben_vorliebgenommen
zunichtemachen	macht zunichte	machte zunichte	haben_zunichtegemacht
dartun	tut dar	täte dar	haben_dargetan
auskommentieren	kommentiert aus	kommentierte aus	haben_auskommentiert
nasführen	nasführt	nasführte	haben_genasführt
auslegen	legt aus	legte aus	haben_ausgelegt
freimachen	macht frei	machte frei	haben_freigemacht
nachsehen	sieht nach	sähe nach	haben_nachgesehen
großschreiben	schreibt groß	schriebe groß	haben_großgeschrieben
begeben	begibt	begäbe	haben_begeben
aufsehen	sieht auf	sähe auf	haben_aufgesehen
liebbehalten	behält lieb	behielte lieb	haben_liebbehalten
lieb behalten	behält lieb	behielte lieb	haben_lieb behalten
antun	tut an	täte an	haben_angetan
überziehen	zieht über	zöge über	haben_übergezogen
anschalten	schaltet an	schaltete an	haben_angeschaltet
vorlassen	lässt vor	ließe vor	haben_vorgelassen
ähnlichsehen	sieht ähnlich	sähe ähnlich	haben_ähnlichgesehen
preisgeben	gibt preis	gäbe preis	haben_preisgegeben
widersetzen	widersetzt	widersetzte	haben_widersetzt
beiwohnen	wohnt bei	wohnte bei	haben_beigewohnt
aufschreiben	schreibt auf	schriebe auf	haben_aufgeschrieben
voranbringen	bringt voran	brächte voran	haben_vorangebracht
darniederliegen	liegt darnieder	läge darnieder	haben_darniedergelegen
daheimbleiben	bleibt daheim	bliebe daheim	sein_daheimgeblieben
aufarbeiten	arbeitet auf	arbeitete auf	haben_aufgearbeitet
stillstehen	steht still	stände still	haben_stillgestanden
uraufführen	uraufführt	uraufführte	haben_uraufgeführt
verfliegen	verfliegt	verflöge	haben_verflogen
durchmachen	macht durch	machte durch	haben_durchgemacht
durchgehen	geht durch	ginge durch	sein_durchgegangen
abführen	führt ab	führte ab	haben_abgeführt
gutheißen	heißt gut	hieße gut	haben_gutgeheißen
wichtigmachen	macht wichtig	machte wichtig	haben_wichtiggemacht
zugrunde liegen	liegt zugrunde	läge zugrunde	haben_zugrunde gelegen
zu Grunde liegen	liegt zu Grunde	läge zu Grunde	haben_zu Grunde gelegen
eintunken	tunkt ein	tunkte ein	haben_eingetunkt
drausbringen	bringt draus	brächte draus	haben_drausgebracht
strammstehen	steht stramm	stände stramm	haben_strammgestanden
standhalten	hält stand	hielte stand	haben_standgehalten
überhandnehmen	nimmt überhand	nähme überhand	haben_überhandgenommen
verfahren	verfährt	verführe	haben_verfahren
wiedererkennen	erkennt wieder	erkennte wieder	haben_wiedererkannt
verfehlen	verfehlt	verfehlte	haben_verfehlt
aufscheinen	scheint auf	schiene auf	sein_aufgeschienen
vonstattengehen	geht vonstatten	ginge vonstatten	sein_vonstattengegangen
lahmlegen	legt lahm	legte lahm	haben_lahmgelegt
stilllegen	legt still	legte still	haben_stillgelegt
wohlwollen	will wohl	wollte wohl	haben_wohlgewollt
durchziehen	zieht durch	zöge durch	haben_durchgezogen
durchsagen	sagt durch	sagte durch	haben_durchgesagt
mitgehen	geht mit	ginge mit	sein_mitgegangen
eingestehen	gesteht ein	gestände ein	haben_eingestanden
nachstellen	stellt nach	stellte nach	haben_nachgestellt
daniederliegen	liegt danieder	läge danieder	haben_daniedergelegen
bereitstehen	steht bereit	stünde bereit	haben_bereitgestanden
festfragen	festfragt	festfragte	haben_gefestfragt
kehrtmachen	macht kehrt	machte kehrt	haben_kehrtgemacht
dazusagen	sagt dazu	sagte dazu	haben_dazugesagt
freihalten	hält frei	hielte frei	haben_freigehalten
näherkommen	kommt näher	käme näher	sein_nähergekommen
mitspielen	spielt mit	spielte mit	haben_mitgespielt
tunneln	tunnelt	tunnelte	haben_getunnelt
draufkommen	kommt drauf	käme drauf	sein_draufgekommen
richtigliegen	liegt richtig	läge richtig	haben_richtiggelegen
aufrechterhalten	erhält aufrecht	erhielte aufrecht	haben_aufrechterhalten
flachlegen	legt flach	legte flach	haben_flachgelegt
schwarzfahren	fährt schwarz	führe schwarz	sein_schwarzgefahren
schwarzarbeiten	arbeitet schwarz	arbeitete schwarz	haben_schwarzgearbeitet
anfallen	fällt an	fiele an	haben_angefallen
aufwarten	wartet auf	wartete auf	haben_aufgewartet
henken	henkt	henkte	haben_gehenkt
warmhalten	hält warm	hielte warm	haben_warmgehalten
zustellen	stellt zu	stellte zu	haben_zugestellt
einlegen	legt ein	legte ein	haben_eingelegt
zubringen	bringt zu	brächte zu	haben_zugebracht
austragen	trägt aus	trüge aus	haben_ausgetragen
wegkommen	kommt weg	käme weg	haben_weggekommen
weitergeben	gibt weiter	gäbe weiter	haben_weitergegeben
aufsagen	sagt auf	sagte auf	haben_aufgesagt
heranmachen	macht heran	machte heran	haben_herangemacht
gestehen	gesteht	gestände	haben_gestanden
glattstellen	stellt glatt	stellte glatt	haben_glattgestellt
bankrottgehen	geht bankrott	ginge bankrott	sein_bankrottgegangen
beiseitelassen	lässt beiseite	ließe beiseite	haben_beiseitegelassen
nachsprechen	spricht nach	spräche nach	haben_nachgesprochen
überschreiben	überschreibt	überschriebe	haben_überschrieben
ausstehen	steht aus	stünde aus	haben_ausgestanden
zupassekommen	kommt zupasse	käme zupasse	sein_zupassegekommen
zupasskommen	kommt zupass	käme zupass	sein_zupassgekommen
vorspielen	spielt vor	spielte vor	haben_vorgespielt
totmachen	macht tot	machte tot	haben_totgemacht
heimkommen	kommt heim	käme heim	sein_heimgekommen
erschreiben	erschreibt	erschriebe	haben_erschrieben
draufstellen	stellt drauf	stellte drauf	haben_draufgestellt
freisprechen	spricht frei	spräche frei	haben_freigesprochen
einstehen	steht ein	stünde ein	haben_eingestanden
vergelten	vergilt	vergälte	haben_vergolten
unterbringen	bringt unter	brächte unter	haben_untergebracht
weitermachen	macht weiter	machte weiter	haben_weitergemacht
einleben	lebt ein	lebte ein	haben_eingelebt
entstellen	entstellt	entstellte	haben_entstellt
missbrauchen	missbraucht	missbrauchte	haben_missbraucht
beibleiben	bleibt bei	bliebe bei	sein_beigeblieben
zusammenziehen	zieht zusammen	zöge zusammen	haben_zusammengezogen
festfahren	fährt fest	führe fest	haben_festgefahren
einbilden	bildet ein	bildete ein	haben_eingebildet
zusammenstellen	stellt zusammen	stellte zusammen	haben_zusammengestellt
dergeben	dergibt	<small>(dergäbe)</small>	haben_dergeben
weiterfahren	fährt weiter	führe weiter	sein_weitergefahren
stehenbleiben	bleibt stehen	bliebe stehen	sein_stehengeblieben
abhersagen	sagt abher	sagte abher	haben_abhergesagt
hineingehen	geht hinein	ginge hinein	sein_hineingegangen
einhinfahren	fährt einhin	führe einhin	sein_einhingefahren
umeinanderstehen	steht umeinander	stünde umeinander	sein_umeinandergestanden
entfahren	entfährt	entführe	sein_entfahren
unterlegen	unterlegt	unterlegte	haben_unterlegt
unterliegen	unterliegt	unterläge	haben_unterlegen
umeinanderliegen	liegt umeinander	läge umeinander	sein_umeinandergelegene
abhinfallen	fällt abhin	fiele abhin	sein_abhingefallen
einsitzen	sitzt ein	säße ein	haben_eingesessen
Laut geben	gibt Laut	gäbe Laut	haben_Laut gegeben
bescheinen	bescheint	beschiene	haben_beschienen
klarstellen	stellt klar	stellte klar	haben_klargestellt
entsagen	entsagt	entsagte	haben_entsagt
weiterhelfen	hilft weiter	hülfe weiter	haben_weitergeholfen
schief liegen	liegt schief	läge schief	haben_schief gelegen
heimsuchen	sucht heim	suchte heim	haben_heimgesucht
naheliegen	liegt nahe	läge nahe	haben_nahegelegen
mithelfen	hilft mit	hülfe mit	haben_mitgeholfen
ausleben	lebt aus	lebte aus	haben_ausgelebt
zurückgewinnen	gewinnt zurück	gewönne zurück	haben_zurückgewonnen
irreführen	führt irre	führte irre	haben_irregeführt
mitfahren	fährt mit	führe mit	sein_mitgefahren
fortleben	lebt fort	lebte fort	haben_fortgelebt
hergehen	geht her	ginge her	sein_hergegangen
besehen	besieht	besähe	haben_besehen
befahren	befährt	beführe	haben_befahren
nahelegen	legt nahe	legte nahe	haben_nahegelegt
vorankommen	kommt voran	käme voran	sein_vorangekommen
Bescheid sagen	sagt Bescheid	sagte Bescheid	haben_Bescheid gesagt
aufbrauchen	braucht auf	brauchte auf	haben_aufgebraucht
durchliegen	liegt durch	läge durch	haben_durchgelegen
Acht geben	gibt Acht	gäbe Acht	haben_Acht gegeben
aushelfen	hilft aus	hülfe aus	haben_ausgeholfen
zurückliegen	liegt zurück	läge zurück	haben_zurückgelegen
stehen bleiben	bleibt stehen	bliebe stehen	sein_stehen geblieben
achtgeben	gibt acht	gäbe acht	haben_achtgegeben
anschreiben	schreibt an	schriebe an	haben_angeschrieben
vorhersagen	sagt vorher	sagte vorher	haben_vorhergesagt
strafversetzen	—	—	haben_strafversetzt
mitmachen	macht mit	machte mit	haben_mitgemacht
kennen lernen	lernt kennen	lernte kennen	haben_kennen gelernt
vorausfahren	fährt voraus	führe voraus	sein_vorausgefahren
abhingehen	geht abhin	ginge abhin	sein_abhingegangen
verkennen	verkennt	verkennte	haben_verkannt
freinehmen	nimmt frei	nähme frei	haben_freigenommen
einarbeiten	arbeitet ein	arbeitete ein	haben_eingearbeitet
verheißen	verheißt	verhieße	haben_verheißen
überstellen	überstellt	überstellte	haben_überstellt
rüberkommen	kommt rüber	käme rüber	sein_rübergekommen
festnehmen	nimmt fest	nähme fest	haben_festgenommen
abmachen	macht ab	machte ab	haben_abgemacht
voraussetzen	setzt voraus	setzte voraus	haben_vorausgesetzt
abgewinnen	gewinnt ab	gewänne ab	haben_abgewonnen
abschalten	schaltet ab	schaltete ab	haben_abgeschaltet
ausscheißen	scheißt aus	schisse aus	haben_ausgeschissen
fertigstellen	stellt fertig	stellte fertig	haben_fertiggestellt
wiederfinden	findet wieder	fände wieder	haben_wiedergefunden
einscheißen	scheißt ein	schisse ein	haben_eingeschissen
wiedersehen	sieht wieder	sähe wieder	haben_wiedergesehen
heimführen	führt heim	führte heim	haben_heimgeführt
auskennen	kennt aus	kennte aus	haben_ausgekannt
näherbringen	bringt näher	brächte näher	haben_nähergebracht
verscheißen	verscheißt	verschisse	haben_verschissen
durchnehmen	nimmt durch	nähme durch	haben_durchgenommen
erspielen	erspielt	erspielte	haben_erspielt
heraufgehen	geht herauf	ginge herauf	sein_heraufgegangen
herauffahren	fährt herauf	führe herauf	sein_heraufgefahren
reinlassen	lässt rein	ließe rein	haben_reingelassen
ausliegen	liegt aus	läge aus	haben_ausgelegen
nachmachen	macht nach	machte nach	haben_nachgemacht
zufallen	fällt zu	fiele zu	sein_zugefallen
zergehen	zergeht	zerginge	sein_zergangen
abringen	ringt ab	ränge ab	haben_abgerungen
entfolgen	entfolgt	entfolgte	haben_entfolgt
hinarbeiten	arbeitet hin	arbeitete hin	haben_hingearbeitet
überstehen	übersteht	überstände	haben_überstanden
anerziehen	erzieht an	erzöge an	haben_anerzogen
klargehen	geht klar	ginge klar	sein_klargegangen
anführen	führt an	führte an	haben_angeführt
niederkommen	kommt nieder	käme nieder	sein_niedergekommen
aufbieten	bietet auf	böte auf	haben_aufgeboten
trockenlegen	legt trocken	legte trocken	haben_trockengelegt
hinzuziehen	zieht hinzu	zöge hinzu	haben_hinzugezogen
vorbeiziehen	zieht vorbei	zöge vorbei	sein_vorbeigezogen
willfahren	willfahrt	willfahre	haben_gewillfahrt
aufsuchen	sucht auf	suchte auf	haben_aufgesucht
hinabsehen	sieht hinab	sähe hinab	haben_hinabgesehen
heiligsprechen	spricht heilig	spräche heilig	haben_heiliggesprochen
zerlesen	zerliest	zerlas	haben_zerlesen
hineinsehen	sieht hinein	sähe hinein	haben_hineingesehen
hingehen	geht hin	ginge hin	sein_hingegangen
guttun	tut gut	täte gut	haben_gutgetan
heranfahren	fährt heran	führe heran	sein_herangefahren
rankommen	kommt ran	käme ran	sein_rangekommen
schiefgehen	geht schief	ginge schief	sein_schiefgegangen
hochziehen	zieht hoch	zöge hoch	haben_hochgezogen
übereinkommen	kommt überein	käme überein	sein_übereingekommen
niedersetzen	setzt nieder	setzte nieder	haben_niedergesetzt
krankmachen	macht krank	machte krank	haben_krankgemacht
zuführen	führt zu	führte zu	haben_zugeführt
abhelfen	hilft ab	hülfe ab	haben_abgeholfen
zurücklegen	legt zurück	legte zurück	haben_zurückgelegt
runtergehen	geht runter	ginge runter	sein_runtergegangen
losgehen	geht los	ginge los	sein_losgegangen
überbringen	überbringt	überbrächte	haben_überbracht
abwohnen	wohnt ab	wohnte ab	haben_abgewohnt
entsetzen	entsetzt	entsetzte	haben_entsetzt
fortführen	führt fort	führte fort	haben_fortgeführt
zusammenführen	führt zusammen	führte zusammen	haben_zusammengeführt
nachsitzen	sitzt nach	säße nach	haben_nachgesessen
einspielen	spielt ein	spielte ein	haben_eingespielt
verzählen	verzählt	verzählte	haben_verzählt
nacharbeiten	arbeitet nach	arbeitete nach	haben_nachgearbeitet
vorfahren	fährt vor	führe vor	haben_vorgefahren
alleinstehen	steht allein	stände allein	haben_alleingestanden
vorführen	führt vor	führte vor	haben_vorgeführt
übertreffen	übertrifft	überträfe	haben_übertroffen
zulegen	legt zu	legte zu	haben_zugelegt
einlernen	lernt ein	lernte ein	haben_eingelernt
herunterfahren	fährt herunter	führe herunter	haben_heruntergefahren
fernhalten	hält fern	hielte fern	haben_ferngehalten
zusammenfallen	fällt zusammen	fiele zusammen	sein_zusammengefallen
offenlegen	legt offen	legte offen	haben_offengelegt
nachkommen	kommt nach	käme nach	sein_nachgekommen
nachbehandeln	behandelt nach	behandelte nach	haben_nachbehandelt
aberziehen	erzieht ab	erzöge ab	haben_aberzogen
nachbringen	bringt nach	brächte nach	haben_nachgebracht
hineinschreiben	schriebt hinein	schriebe hinein	haben_hineingeschrieben
reinschreiben	schreibt rein	schriebe rein	haben_reingeschrieben
nachempfinden	empfindet nach	empfände nach	haben_nachempfunden
ablesen	liest ab	läse ab	haben_abgelesen
durchlesen	liest durch	läse durch	haben_durchgelesen
durcharbeiten	arbeitet durch	arbeitete durch	haben_durchgearbeitet
mitarbeiten	arbeitet mit	arbeitete mit	haben_mitgearbeitet
zuarbeiten	arbeitet zu	arbeitete zu	haben_zugearbeitet
durchbringen	bringt durch	brächte durch	haben_durchgebracht
aussuchen	sucht aus	suchte aus	haben_ausgesucht
einhalten	hält ein	hielte ein	haben_eingehalten
zersetzen	zersetzt	zersetzte	haben_zersetzt
antreffen	trifft an	träfe an	haben_angetroffen
bereden	beredet	beredete	haben_beredet
richtigstellen	stellt richtig	stellte richtig	haben_richtiggestellt
abschwellen	schwillt ab	schwölle ab	sein_abgeschwollen
anschwellen	schwillt an	schwölle an	sein_angeschwollen
drankommen	kommt dran	käme dran	sein_drangekommen
weiterfliegen	fliegt weiter	flöge weiter	sein_weitergeflogen
angehören	gehört an	gehörte an	haben_angehört
festmachen	macht fest	machte fest	haben_festgemacht
vollbringen	vollbringt	vollbrächte	haben_vollbracht
zusammenschließen	schließt zusammen	schlösse zusammen	haben_zusammengeschlossen
tunken	tunkt	tunkte	haben_getunkt
segelfliegen	—	—	sein_segelgeflogen
flottkommen	kommt flott	käme flott	sein_flottgekommen
tunen	tunt	tunte	haben_getunt
erliegen	erliegt	erläge	sein_erlegen
instand setzen	setzt instand	setzte instand	haben_instandgesetzt
willkommen heißen	heißt willkommen	hieße willkommen	haben_willkommen geheißen
altmachen	macht alt	machte alt	haben_altgemacht
armmachen	macht arm	machte arm	haben_armgemacht
zustehen	steht zu	stünde zu	haben_zugestanden
vorliegen	liegt vor	läge vor	haben_vorgelegen
entlangfahren	fährt entlang	führe entlang	sein_entlanggefahren
entlangfliegen	fliegt entlang	flöge entlang	sein_entlanggeflogen
sattsehen	sieht satt	sähe satt	haben_sattgesehen
plattmachen	macht platt	machte platt	haben_plattgemacht
bekleben	beklebt	beklebte	haben_beklebt
offenstehen	steht offen	stünde offen	haben_offengestanden
bespielen	bespielt	bespielte	haben_bespielt
besserstellen	stellt besser	stellte besser	haben_bessergestellt
zugestehen	gesteht zu	gestände zu	haben_zugestanden
zureden	redet zu	redete zu	haben_zugeredet
nachtragen	trägt nach	trüge nach	haben_nachgetragen
befliegen	befliegt	beflöge	haben_beflogen
bemachen	bemacht	bemachte	haben_bemacht
schlechtreden	redet schlecht	redete schlecht	haben_schlechtgeredet
beschalten	beschaltet	beschaltete	haben_beschaltet
bleibenlassen	lässt bleiben	ließe bleiben	haben_bleibengelassen
geschehen lassen	lässt geschehen	ließe geschehen	haben_geschehen lassen
zurücklassen	lässt zurück	ließe zurück	haben_zurückgelassen
emporfahren	fährt empor	führe empor	sein_emporgefahren
bezeigen	bezeigt	bezeigte	haben_bezeigt
betun	betut	betäte	haben_betan
belernen	belernt	belernte	haben_belernt
vorstehen	steht vor	stünde vor	haben_vorgestanden
überhelfen	überhilft	überhülfe	haben_überholfen
frei geben	gibt frei	gäbe frei	haben_frei gegeben
anheimfallen	fällt anheim	fiele anheim	sein_anheimgefallen
verhelfen	verhilft	verhälfe	haben_verholfen
ergehen	ergeht	erginge	haben_ergangen
danebenbenehmen	benimmt daneben	benähme daneben	haben_danebenbenommen
müßiggehen	geht müßig	ginge müßig	sein_müßiggegangen
ersehen	ersieht	ersähe	haben_ersehen
dichthalten	hält dicht	hielte dicht	haben_dichtgehalten
erstinken	erstinkt	erstänke	sein_erstunken
hochspielen	spielt hoch	spielte hoch	haben_hochgespielt
erlernen	erlernt	erlernte	haben_erlernt
herkommen	kommt her	käme her	sein_hergekommen
erfliegen	erfliegt	erflöge	haben_erflogen
erzeigen	erzeigt	erzeigte	haben_erzeigt
durcheinanderbringen	bringt durcheinander	brächte durcheinander	haben_durcheinandergebracht
erhandeln	erhandelt	erhandelte	haben_erhandelt
aufwärtsfahren	fährt aufwärts	führe aufwärts	sein_aufwärtsgefahren
abwärtsfahren	fährt abwärts	führe abwärts	sein_abwärtsgefahren
widersagen	widersagt	widersagte	haben_widersagt
widerreden	widerredet	widerredete	haben_widerredet
widerscheinen	scheint wider	schiene wider	haben_widergeschienen
klarkommen	kommt klar	käme klar	sein_klargekommen
klarlegen	legt klar	legte klar	haben_klargelegt
klarmachen	macht klar	machte klar	haben_klargemacht
entgelten	entgilt	entgälte	haben_entgolten
kleinhalten	hält klein	hielte klein	haben_kleingehalten
Benutzer:Udo T./gehen	geht	ginge	sein_gegangen
schwerfallen	fällt schwer	fiele schwer	sein_schwergefallen
absehen	sieht ab	sähe ab	haben_abgesehen
auseinanderhalten	hält auseinander	hielte auseinander	haben_auseinandergehalten
herhalten	hält her	hielte her	haben_hergehalten
vorenthalten	enthält vor	enthielte vor	haben_vorenthalten
zuhalten	hält zu	hielte zu	haben_zugehalten
mithalten	hält mit	hielte mit	haben_mitgehalten
stillhalten	hält still	hielte still	haben_stillgehalten
vorhalten	hält vor	hielte vor	haben_vorgehalten
zurückbehalten	behält zurück	behielte zurück	haben_zurückbehalten
beibehalten	behält bei	behielte bei	haben_beibehalten
heraushalten	hält heraus	hielte heraus	haben_herausgehalten
zusammenhalten	hält zusammen	hielte zusammen	haben_zusammengehalten
bereithalten	hält bereit	hielte bereit	haben_bereitgehalten
hochgehen	geht hoch	ginge hoch	sein_hochgegangen
wegfallen	fällt weg	fiele weg	sein_weggefallen
hinaufgehen	geht hinauf	ginge hinauf	sein_hinaufgegangen
zukommen	kommt zu	käme zu	sein_zugekommen
unterkommen	kommt unter	käme unter	sein_untergekommen
freischalten	schaltet frei	schaltete frei	haben_freigeschaltet
nahebringen	bringt nahe	brächte nahe	haben_nahegebracht
bekanntgeben	gibt bekannt	gäbe bekannt	haben_bekanntgegeben
bekannt geben	gibt bekannt	gäbe bekannt	haben_bekannt gegeben
auffliegen	fliegt auf	flöge auf	sein_aufgeflogen
zuwiderhandeln	handelt zuwider	handelte zuwider	haben_zuwidergehandelt
auseinandergehen	geht auseinander	ginge auseinander	sein_auseinandergegangen
daherreden	redet daher	redete daher	haben_dahergeredet
entzweigehen	geht entzwei	ginge entzwei	sein_entzweigegangen
schlechtmachen	macht schlecht	machte schlecht	haben_schlechtgemacht
aufeinanderfolgen	folgt aufeinander	folgte aufeinander	sein_aufeinandergefolgt
herangehen	geht heran	ginge heran	sein_herangegangen
voranstellen	stellt voran	stellte voran	haben_vorangestellt
nahestehen	steht nahe	stände nahe	haben_nahegestanden
auslernen	lernt aus	lernte aus	haben_ausgelernt
nachbestellen	bestellt nach	bestellte nach	haben_nachbestellt
auseinandernehmen	nimmt auseinander	nähme auseinander	haben_auseinandergenommen
entgegenbringen	bringt entgegen	brächte entgegen	haben_entgegengebracht
dazwischenfahren	fährt dazwischen	führe dazwischen	sein_dazwischengefahren
kurzarbeiten	arbeitet kurz	arbeitete kurz	haben_kurzgearbeitet
wiedergutmachen	macht wieder gut	machte wieder gut	haben_wiedergutgemacht
mitbekommen	bekommt mit	bekäme mit	haben_mitbekommen
zurückführen	führt zurück	führte zurück	haben_zurückgeführt
vorsagen	sagt vor	sagte vor	haben_vorgesagt
verschüttgehen	geht verschütt	ginge verschütt	sein_verschüttgegangen
verlorengehen	geht verloren	ginge verloren	sein_verlorengegangen
nachbesetzen	besetzt nach	besetzte nach	haben_nachbesetzt
abwetzen	wetzt ab	wetzte ab	haben<!--Das in einigen Standardreferenzen angegebene Hilfsverb „sein“ gehört zu einer weiteren Bedeutung-->_abgewetzt
beiliegen	liegt bei	läge bei	haben_beigelegen
darbieten	bietet dar	böte dar	haben_dargeboten
nebeneinanderlegen	legt nebeneinander	legte nebeneinander	haben_nebeneinandergelegt
aneinanderlegen	legt aneinander	legte aneinander	haben_aneinandergelegt
hinterziehen	hinterzieht	hinterzöge	haben_hinterzogen
überbieten	überbietet	überböte	haben_überboten
zusammenschreiben	schreibt zusammen	schriebe zusammen	haben_zusammengeschrieben
durchkommen	kommt durch	käme durch	sein_durchgekommen
allemachen	macht alle	machte alle	haben_allegemacht
kaltmachen	macht kalt	machte kalt	haben_kaltgemacht
vorfinden	findet vor	fände vor	haben_vorgefunden
vorsetzen	setzt vor	setzte vor	haben_vorgesetzt
zutreffen	trifft zu	träfe zu	haben_zugetroffen
